id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1001,India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",23-05-2022 04:00:00,SO2,10,28,21,NA
1002,India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",23-05-2022 04:00:00,CO,28,31,30,NA
1003,India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",23-05-2022 04:00:00,OZONE,18,42,20,NA
1004,India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",23-05-2022 04:00:00,PM2.5,18,82,41,NA
1005,India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",23-05-2022 04:00:00,PM10,36,139,75,NA
1006,India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",23-05-2022 04:00:00,CO,6,22,14,NA
1007,India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",23-05-2022 04:00:00,OZONE,9,27,22,NA
1008,India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",23-05-2022 04:00:00,PM2.5,12,54,27,NA
1009,India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",23-05-2022 04:00:00,PM10,59,99,75,NA
1010,India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",23-05-2022 04:00:00,NO2,2,7,5,NA
1011,India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",23-05-2022 04:00:00,NH3,1,2,1,NA
1012,India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",23-05-2022 04:00:00,SO2,1,6,3,NA
1013,India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",23-05-2022 04:00:00,CO,8,10,8,NA
1014,India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",23-05-2022 04:00:00,OZONE,9,12,11,NA
1015,India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
1016,India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
1017,India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",23-05-2022 04:00:00,NO2,NA,NA,NA,NA
1018,India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",23-05-2022 04:00:00,NH3,NA,NA,NA,NA
1019,India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",23-05-2022 04:00:00,SO2,NA,NA,NA,NA
1020,India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",23-05-2022 04:00:00,CO,14,15,14,NA
1021,India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",23-05-2022 04:00:00,OZONE,15,18,16,NA
1022,India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",23-05-2022 04:00:00,PM2.5,22,45,32,NA
1023,India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",23-05-2022 04:00:00,PM10,52,91,72,NA
1024,India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",23-05-2022 04:00:00,NO2,5,15,11,NA
1025,India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",23-05-2022 04:00:00,NH3,4,6,5,NA
1026,India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",23-05-2022 04:00:00,SO2,5,14,12,NA
1027,India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",23-05-2022 04:00:00,CO,6,16,12,NA
1028,India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",23-05-2022 04:00:00,OZONE,19,20,19,NA
1029,India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",23-05-2022 04:00:00,PM2.5,28,100,40,NA
1030,India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",23-05-2022 04:00:00,PM10,48,75,60,NA
