id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-05-2022 04:00:00,PM2.5,21,77,46,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-05-2022 04:00:00,PM10,58,110,85,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-05-2022 04:00:00,NO2,6,12,8,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-05-2022 04:00:00,NH3,2,3,2,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-05-2022 04:00:00,SO2,12,13,12,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-05-2022 04:00:00,CO,9,26,17,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-05-2022 04:00:00,OZONE,27,100,68,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2022 04:00:00,PM2.5,38,77,55,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2022 04:00:00,PM10,80,133,104,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2022 04:00:00,NO2,12,33,19,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2022 04:00:00,NH3,1,4,2,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2022 04:00:00,SO2,5,30,14,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2022 04:00:00,CO,8,50,18,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2022 04:00:00,OZONE,12,31,21,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-05-2022 04:00:00,PM2.5,21,62,39,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-05-2022 04:00:00,PM10,32,78,61,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-05-2022 04:00:00,NO2,13,48,32,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-05-2022 04:00:00,NH3,1,2,2,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-05-2022 04:00:00,SO2,2,6,4,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-05-2022 04:00:00,CO,37,53,45,NA
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-05-2022 04:00:00,OZONE,11,19,15,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-05-2022 04:00:00,PM2.5,39,162,84,NA
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-05-2022 04:00:00,PM10,46,185,122,NA
24,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-05-2022 04:00:00,NO2,17,102,50,NA
25,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-05-2022 04:00:00,NH3,3,6,5,NA
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-05-2022 04:00:00,SO2,9,22,17,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-05-2022 04:00:00,CO,1,36,15,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-05-2022 04:00:00,OZONE,2,51,34,NA
29,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
30,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
31,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",23-05-2022 04:00:00,NO2,NA,NA,NA,NA
32,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",23-05-2022 04:00:00,NH3,NA,NA,NA,NA
33,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",23-05-2022 04:00:00,SO2,NA,NA,NA,NA
34,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",23-05-2022 04:00:00,CO,12,14,12,NA
35,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",23-05-2022 04:00:00,OZONE,41,43,42,NA
36,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",23-05-2022 04:00:00,PM2.5,36,126,67,NA
37,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",23-05-2022 04:00:00,PM10,45,142,72,NA
38,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",23-05-2022 04:00:00,NO2,1,8,4,NA
39,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",23-05-2022 04:00:00,NH3,1,1,1,NA
40,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",23-05-2022 04:00:00,SO2,20,39,26,NA
41,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",23-05-2022 04:00:00,CO,24,82,27,NA
42,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",23-05-2022 04:00:00,OZONE,7,35,18,NA
43,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,PM2.5,37,175,72,NA
44,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,PM10,36,138,71,NA
45,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,NO2,3,4,3,NA
46,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,NH3,1,2,1,NA
47,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,SO2,11,16,13,NA
48,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,CO,10,96,12,NA
49,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,OZONE,2,60,32,NA
50,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
